k,k_prime,Prob.
0,0,
0,1,
0,2,
0,3,
0,4,
0,5,
0,6,
0,7,
0,8,
0,9,
0,10,
0,11,
0,12,
0,13,
0,14,
0,15,
0,16,
0,17,
0,18,
0,19,
0,20,
1,0,
1,1,
1,2,
1,3,
1,4,
1,5,
1,6,
1,7,
1,8,
1,9,
1,10,
1,11,
1,12,
1,13,
1,14,
1,15,
1,16,
1,17,
1,18,
1,19,
1,20,
2,0,0.0
2,1,1.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
3,0,0.0
3,1,0.06542153589315526
3,2,0.9345784641068448
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
4,0,0.0
4,1,0.008861747554984159
4,2,0.1499609715781257
4,3,0.8411772808668901
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
5,0,0.0
5,1,0.002419029700309098
5,2,0.030999417640998075
5,3,0.2010930430497693
5,4,0.7654885096089236
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
6,0,0.0
6,1,0.00033147078321810777
6,2,0.009423240837200492
6,3,0.04882091107112416
6,4,0.24831896959939387
6,5,0.6931054077090634
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
7,0,0.0
7,1,5.307292219509606e-05
7,2,0.0030782294873155716
7,3,0.015974949580723916
7,4,0.0741959452287443
7,5,0.2921664366840038
7,6,0.6145313660970173
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
8,0,0.0
8,1,0.0
8,2,0.00045216717266326466
8,3,0.003552742070925651
8,4,0.024287836703055357
8,5,0.09295265163749111
8,6,0.32149085976358116
8,7,0.5572637426522834
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
9,0,0.0
9,1,0.0
9,2,0.0002743735138101335
9,3,0.0016462410828608012
9,4,0.0074995427108103165
9,5,0.032376074629595755
9,6,0.11825498445216755
9,7,0.3492774830803
9,8,0.49067130053045543
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.00043465662126919734
10,4,0.003332367429730513
10,5,0.012170385395537525
10,6,0.04303100550565054
10,7,0.14488554042306578
10,8,0.34946392350043465
10,9,0.44668212112431177
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
11,0,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.00025393600812595224
11,5,0.007110208227526663
11,6,0.02006094464195023
11,7,0.05180294565769426
11,8,0.15947181310309802
11,9,0.35449466734382934
11,10,0.4068054850177755
11,11,0.0
11,12,0.0
11,13,0.0
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
12,0,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.003560528992878942
