k,k_prime,Prob.
0,0,
0,1,
0,2,
0,3,
0,4,
0,5,
0,6,
0,7,
0,8,
0,9,
0,10,
0,11,
0,12,
0,13,
0,14,
0,15,
0,16,
0,17,
0,18,
0,19,
0,20,
1,0,
1,1,
1,2,
1,3,
1,4,
1,5,
1,6,
1,7,
1,8,
1,9,
1,10,
1,11,
1,12,
1,13,
1,14,
1,15,
1,16,
1,17,
1,18,
1,19,
1,20,
2,0,0.0
2,1,1.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
3,0,0.0
3,1,0.0688497061293031
3,2,0.9311502938706969
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
4,0,0.0
4,1,0.021648408972352633
4,2,0.22613458528951486
4,3,0.7522170057381325
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
5,0,0.0
5,1,0.00725733293014817
5,2,0.062292107650438466
5,3,0.298155427880254
5,4,0.6322951315391594
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
6,0,0.0
6,1,0.0021536252692031586
6,2,0.024766690595836326
6,3,0.11270638908829864
6,4,0.3596554199569275
6,5,0.5007178750897344
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
7,0,0.0
7,1,0.0022896393817973667
7,2,0.0206067544361763
7,3,0.035489410417859184
7,4,0.17916428162564396
7,5,0.38179736691471095
7,6,0.38065254722381225
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
8,0,0.0
8,1,0.0
8,2,0.011891891891891892
8,3,0.03891891891891892
8,4,0.12216216216216216
8,5,0.267027027027027
8,6,0.3318918918918919
8,7,0.2281081081081081
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
9,0,0.0
9,1,0.0
9,2,0.012953367875647668
9,3,0.025906735751295335
9,4,0.05181347150259067
9,5,0.12953367875647667
9,6,0.3471502590673575
9,7,0.25906735751295334
9,8,0.17357512953367876
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
10,0,0.0
10,1,0.0
10,2,0.00641025641025641
10,3,0.019230769230769232
10,4,0.05128205128205128
10,5,0.10897435897435898
10,6,0.32051282051282054
10,7,0.21153846153846154
10,8,0.1346153846153846
10,9,0.14743589743589744
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
11,0,0.0
11,1,0.0
11,2,0.01639344262295082
11,3,0.03278688524590164
11,4,0.01639344262295082
11,5,0.14754098360655737
11,6,0.11475409836065574
11,7,0.11475409836065574
11,8,0.32786885245901637
11,9,0.18032786885245902
11,10,0.04918032786885246
11,11,0.0
11,12,0.0
11,13,0.0
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
12,0,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
