k,k_prime,Prob.
0,0,
0,1,
0,2,
0,3,
0,4,
0,5,
0,6,
0,7,
0,8,
0,9,
0,10,
0,11,
0,12,
0,13,
0,14,
0,15,
0,16,
0,17,
0,18,
0,19,
0,20,
1,0,
1,1,
1,2,
1,3,
1,4,
1,5,
1,6,
1,7,
1,8,
1,9,
1,10,
1,11,
1,12,
1,13,
1,14,
1,15,
1,16,
1,17,
1,18,
1,19,
1,20,
2,0,0.0
2,1,1.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
3,0,0.0
3,1,0.7202577372258386
3,2,0.27974226277416137
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
4,0,0.0
4,1,0.5364447416979679
4,2,0.3364047319045259
4,3,0.12715052639750626
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
5,0,0.0
5,1,0.3839741502097255
5,2,0.33538219472096115
5,3,0.20714949952326206
5,4,0.07349415554605132
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
6,0,0.0
6,1,0.2657496544624461
6,2,0.2939382840537245
6,3,0.24960095499495824
6,4,0.1431512723468971
6,5,0.04755983414197411
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
7,0,0.0
7,1,0.17821171104425304
7,2,0.23870223745498353
7,3,0.2534785885930383
7,4,0.1958304610845182
7,5,0.102542826035137
7,6,0.031234175788069914
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
8,0,0.0
8,1,0.12506692473010167
8,2,0.1885555569520027
8,3,0.23045735040908918
8,4,0.21340379805698342
8,5,0.148498749481569
8,6,0.07305918282705141
8,7,0.020958437543202584
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
9,0,0.0
9,1,0.09297580471952711
9,2,0.1412356308422124
9,3,0.18868925888918978
9,4,0.20555093833362903
9,5,0.17894173273444333
9,6,0.11961925039142629
9,7,0.0569474663902559
9,8,0.016039917699316134
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
10,0,0.0
10,1,0.06859683268887252
10,2,0.10594888715777483
10,3,0.1498271370171545
10,4,0.17980574389919582
10,5,0.184752755334747
10,6,0.15263719013516025
10,7,0.0990296608873084
10,8,0.04616583078961551
10,9,0.013235962090171168
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
11,0,0.0
11,1,0.04816390482447049
11,2,0.07996753942519488
11,3,0.11986172638264835
11,4,0.15840338938988874
11,5,0.17548734775322938
11,6,0.16477957372660748
11,7,0.12854598405778264
11,8,0.079419503746667
11,9,0.035559084218328985
11,10,0.009811946475182064
11,11,0.0
11,12,0.0
11,13,0.0
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
12,0,0.0
12,1,0.04109259976753196
