k,k_prime,Prob.
0,0,
0,1,
0,2,
0,3,
0,4,
0,5,
0,6,
0,7,
0,8,
0,9,
0,10,
0,11,
0,12,
0,13,
0,14,
0,15,
0,16,
0,17,
0,18,
0,19,
0,20,
1,0,
1,1,
1,2,
1,3,
1,4,
1,5,
1,6,
1,7,
1,8,
1,9,
1,10,
1,11,
1,12,
1,13,
1,14,
1,15,
1,16,
1,17,
1,18,
1,19,
1,20,
2,0,0.0
2,1,1.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
3,0,0.0
3,1,0.5898993734573761
3,2,0.41010062654262386
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
4,0,0.0
4,1,0.46364080039043437
4,2,0.351634943875061
4,3,0.18472425573450463
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
5,0,0.0
5,1,0.3591366097166561
5,2,0.33895802573296774
5,3,0.21366800253111157
5,4,0.08823736201926458
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
6,0,0.0
6,1,0.2673856157322972
6,2,0.2981524066291333
6,3,0.25469827927999367
6,4,0.13488224565855206
6,5,0.04488145270002379
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
7,0,0.0
7,1,0.2021627101461519
7,2,0.2617217200304131
7,3,0.24119286981498692
7,4,0.17495987158908508
7,5,0.09377376024330489
7,6,0.026189068176058122
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
8,0,0.0
8,1,0.15653546859140635
8,2,0.208300439833089
8,3,0.21314988158339912
8,4,0.2026615540769144
8,5,0.13928047817751213
8,6,0.06529829705650164
8,7,0.014773880681177399
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
9,0,0.0
9,1,0.13845918211058356
9,2,0.1863991422882524
9,3,0.19803951600551387
9,4,0.1909940266503293
9,5,0.1490274161433604
9,6,0.08806861693980701
9,7,0.03982233113799969
9,8,0.009189768724153776
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
10,0,0.0
10,1,0.0844954881050041
10,2,0.17719442165709598
10,3,0.16776045939294504
10,4,0.16037735849056603
10,5,0.1833470057424118
10,6,0.13002461033634127
10,7,0.06562756357670221
10,8,0.02378999179655455
10,9,0.007383100902378999
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
11,0,0.0
11,1,0.061128526645768025
11,2,0.13793103448275862
11,3,0.1896551724137931
11,4,0.19278996865203762
11,5,0.14733542319749215
11,6,0.11755485893416928
11,7,0.07993730407523511
11,8,0.05172413793103448
11,9,0.012539184952978056
11,10,0.009404388714733543
11,11,0.0
11,12,0.0
11,13,0.0
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
12,0,0.0
12,1,0.09433962264150944
