k(t),k(t+1),Prob.
1,1,0.0
1,2,0.596367978607202
1,3,0.1291993090637465
1,4,0.07774356234264672
1,5,0.05262278427559893
1,6,0.03650430599763397
1,7,0.036981449778934736
1,8,0.02602257981370624
1,9,0.026982013044537487
1,10,0.011717528577496717
1,11,0.005058234395992729
1,12,0.0005108245188043504
1,13,9.067890866349417e-05
1,14,6.736147500716708e-05
1,15,3.1435355003344646e-05
1,16,7.3676613289089e-05
1,17,1.3868538972063813e-05
1,18,0.0
1,19,1.2408692764478148e-05
1,20,0.0
2,1,0.034030638470161516
2,2,0.7009590976613638
2,3,0.13775498237834743
2,4,0.05653250510618254
2,5,0.02998701945079296
2,6,0.01776029283876992
2,7,0.010452311146842565
2,8,0.0061483221083157855
2,9,0.0031766542918694536
2,10,0.0017506879686695327
2,11,0.0007521901885237077
2,12,0.000406580539171886
2,13,0.00018037191917820843
2,14,6.804208558285094e-05
2,15,2.3611185253536308e-05
2,16,1.0686096774229795e-05
2,17,4.31035836271454e-06
2,18,1.6962058371793326e-06
2,19,0.0
2,20,0.0
3,1,0.007898413593547106
3,2,0.17426129449964123
3,3,0.4087378142820462
3,4,0.19536105143188756
3,5,0.09712707695415367
3,6,0.054405921727973795
3,7,0.030505296020953882
3,8,0.016934895962775247
3,9,0.008366053058170777
3,10,0.003666248165458334
3,11,0.00154526132863445
3,12,0.0006764373755212431
3,13,0.000300653332664759
3,14,0.00013849850787653935
3,15,5.394535057448409e-05
3,16,1.526755204938229e-05
3,17,3.891728953764113e-06
3,18,1.979127117512519e-06
3,19,0.0
3,20,0.0
4,1,0.0033643114921628487
4,2,0.07101400386904654
4,3,0.18748943874474966
4,4,0.298439269005384
4,5,0.19119079020109297
4,6,0.11037754419428743
4,7,0.06553649563614948
4,8,0.03748686819809793
4,9,0.019193906437975763
4,10,0.00931194664041426
4,11,0.004127101295489081
4,12,0.0015695249777046372
4,13,0.0006027268145568621
4,14,0.00022204351479995223
4,15,5.966386649148736e-05
4,16,1.141528057872845e-05
4,17,2.148758697172414e-06
4,18,6.088149641988506e-07
4,19,1.9225735711542653e-07
4,20,0.0
5,1,0.0019865261569610303
5,2,0.037320755756565585
5,3,0.09531050389517047
5,4,0.18819342722478632
5,5,0.24947747415610774
5,6,0.18019530810287543
5,7,0.11517983704944354
