k(t),k(t+1),Prob.
1,1,0.0
1,2,0.8371444113667375
1,3,0.09519952095876305
1,4,0.0341713876835927
1,5,0.013886902598571858
1,6,0.010771811239982363
1,7,0.004616490531421012
1,8,0.0031660391144542758
1,9,0.0005822600670260736
1,10,0.00030568653518868867
1,11,0.00011909865007351507
1,12,3.63912541891296e-05
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
2,1,0.02176234181284363
2,2,0.9202787940392061
2,3,0.035787209969010754
2,4,0.010259310037090174
2,5,0.005409910701808898
2,6,0.003137190484296397
2,7,0.0017647941391026082
2,8,0.000961374595076607
2,9,0.00042944651962812904
2,10,0.00016006643004321173
2,11,4.258973748378139e-05
2,12,6.971534409547549e-06
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
3,1,0.013885705779702126
3,2,0.19399027307572056
3,3,0.47289225140607977
3,4,0.14196495728384986
3,5,0.0817904935130065
3,6,0.053706414635652226
3,7,0.025190882166716246
3,8,0.011760865109135613
3,9,0.0033633354871189353
3,10,0.0010096833258691957
3,11,0.0003444429564554697
3,12,0.00010069526069351346
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
4,1,0.007595569602116498
4,2,0.06544298736896026
4,3,0.16534735534011574
4,4,0.2739588023942127
4,5,0.21478949866159003
4,6,0.14656024598608847
4,7,0.07755448741429509
4,8,0.03497356172472119
4,9,0.009589253732784757
4,10,0.003386816783938902
4,11,0.0006454733061087143
4,12,0.00015594768506760925
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
5,1,0.0047281330189518685
5,2,0.029646315948915477
5,3,0.0895096602817174
5,4,0.1936229737552114
5,5,0.26775456797185315
5,6,0.21124262266102695
5,7,0.12546767946749873
5,8,0.056396815052309944
5,9,0.015693128596484012
5,10,0.005175922775621404
5,11,0.0005723088333904769
5,12,0.0001898716370191906
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
6,1,0.004147935270239878
6,2,0.020702641214857966
6,3,0.06298442187132101
6,4,0.14827016834290493
6,5,0.2401950802559621
6,6,0.25062911266788696
6,7,0.15975194239770799
6,8,0.07932771891265679
6,9,0.024023458440139298
6,10,0.00828475999957733
6,11,0.0011817575323491863
6,12,0.000501003094396533
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
7,1,0.005841454224586862
7,2,0.017312715781565412
7,3,0.04755000177984959
7,4,0.1383789710550501
7,5,0.2318600169873843
7,6,0.265461641984003
7,7,0.1767553902532857
7,8,0.07816119728767856
7,9,0.02705129478110612
7,10,0.008750329110917363
7,11,0.0022180594302054464
7,12,0.0006589273243676485
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
8,1,0.0095081581803478
8,2,0.01596541202245316
8,3,0.044489886563496554
8,4,0.11249098981126435
8,5,0.21154911440512145
8,6,0.26040307772429166
8,7,0.19890965357525991
8,8,0.09645893182025735
8,9,0.031776139574682595
8,10,0.012413922409295211
8,11,0.0045561607593170425
8,12,0.0014785531542129626
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
9,1,0.029559882278041953
9,2,0.013390374023386525
9,3,0.03683054658004847
9,4,0.08701637710480584
9,5,0.17594446169596933
9,6,0.19571842283239174
9,7,0.21975612930025004
9,8,0.13692499600800986
9,9,0.06256327094364941
9,10,0.027951353071459042
9,11,0.010014070453167281
9,12,0.004330115708820485
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
10,1,0.037660780012325895
10,2,0.003997512962202189
10,3,0.022301914420706954
10,4,0.04881173722267937
10,5,0.14092285168858035
10,6,0.1671591604457705
10,7,0.23474117469773761
10,8,0.1720508539389916
10,9,0.08499974930156234
10,10,0.043572891288003866
10,11,0.03410318474452873
10,12,0.009678189276910564
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
11,1,0.054604478670371756
11,2,0.010617537519238952
11,3,0.01820149289012392
11,4,0.04980130693547794
11,5,0.05561567271982308
11,6,0.09319838489109747
11,7,0.15456823327327454
11,8,0.19339086195756663
11,9,0.13381467921072585
11,10,0.14237612216274712
11,11,0.06398100531073862
11,12,0.029830224458814197
11,13,0.0
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
12,1,0.04591430051574181
12,2,0.021606729654466732
12,3,0.015304766838580603
12,4,0.06414497866169812
12,5,0.052396319412081824
12,6,0.08687705881900165
12,7,0.18790138110223747
12,8,0.09486704738914299
12,9,0.14824617290703562
12,10,0.2087750252862848
12,11,0.06923974730181384
12,12,0.004726472111914598
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.0
12,20,0.0
13,1,
13,2,
13,3,
13,4,
13,5,
13,6,
13,7,
13,8,
13,9,
13,10,
13,11,
13,12,
13,13,
13,14,
13,15,
13,16,
13,17,
13,18,
13,19,
13,20,
14,1,
14,2,
14,3,
14,4,
14,5,
14,6,
14,7,
14,8,
14,9,
14,10,
14,11,
14,12,
14,13,
14,14,
14,15,
14,16,
14,17,
14,18,
14,19,
14,20,
15,1,
15,2,
15,3,
15,4,
15,5,
15,6,
15,7,
15,8,
15,9,
15,10,
15,11,
15,12,
15,13,
15,14,
15,15,
15,16,
15,17,
15,18,
15,19,
15,20,
16,1,
16,2,
16,3,
16,4,
16,5,
16,6,
16,7,
16,8,
16,9,
16,10,
16,11,
16,12,
16,13,
16,14,
16,15,
16,16,
16,17,
16,18,
16,19,
16,20,
17,1,
17,2,
17,3,
17,4,
17,5,
17,6,
17,7,
17,8,
17,9,
17,10,
17,11,
17,12,
17,13,
17,14,
17,15,
17,16,
17,17,
17,18,
17,19,
17,20,
18,1,
18,2,
18,3,
18,4,
18,5,
18,6,
18,7,
18,8,
18,9,
18,10,
18,11,
18,12,
18,13,
18,14,
18,15,
18,16,
18,17,
18,18,
18,19,
18,20,
19,1,
19,2,
19,3,
19,4,
19,5,
19,6,
19,7,
19,8,
19,9,
19,10,
19,11,
19,12,
19,13,
19,14,
19,15,
19,16,
19,17,
19,18,
19,19,
19,20,
20,1,
20,2,
20,3,
20,4,
20,5,
20,6,
20,7,
20,8,
20,9,
20,10,
20,11,
20,12,
20,13,
20,14,
20,15,
20,16,
20,17,
20,18,
20,19,
20,20,
