k(t),k(t+1),Prob.
1,1,0.0
1,2,0.920263712936099
1,3,0.05271917381913538
1,4,0.01413584064839511
1,5,0.009505840667906277
1,6,0.002321828898770211
1,7,0.00023413400659867676
1,8,0.0
1,9,0.0008194690230953687
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
2,1,0.024842923123779455
2,2,0.9332920782877036
2,3,0.03112553120051751
2,4,0.006687250630833047
2,5,0.0024150771386511707
2,6,0.0009086709986694585
2,7,0.00042898195584506807
2,8,0.00015040989675241527
2,9,8.992056757666517e-05
2,10,3.7269708929802014e-05
2,11,1.9360887755741306e-05
2,12,8.873740221381431e-07
2,13,1.6382289639473413e-06
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
3,1,0.00995892604404668
3,2,0.2347884104924843
3,3,0.5656669993018514
3,4,0.1187803800875081
3,5,0.04190285423073479
3,6,0.014005300499780963
3,7,0.007644148639214208
3,8,0.004636283813748758
3,9,0.002033654567553076
3,10,0.0005167875136370169
3,11,5.3832032670522594e-05
3,12,0.0
3,13,1.2422776770120599e-05
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
4,1,0.004899819177394263
4,2,0.11470031256172934
4,3,0.25416698387465153
4,4,0.3512056754924097
4,5,0.14612151663203765
4,6,0.057936649788461865
4,7,0.034438729075399674
4,8,0.016347578528215403
4,9,0.015669522743060844
4,10,0.0037594976233825076
4,11,0.0005264268537696316
4,12,0.00019302317971553156
4,13,3.426446977198785e-05
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
5,1,0.002040404165396611
5,2,0.0723209920846132
5,3,0.145964468350502
5,4,0.22138385194553228
5,5,0.2374350313799856
5,6,0.1397299000673457
5,7,0.08840132015000078
5,8,0.05164773043660171
5,9,0.031160246328340836
5,10,0.0083883282355194
5,11,0.0007625752941381273
5,12,0.000765151562023729
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
6,1,0.002327440251113694
6,2,0.03731177652566641
6,3,0.07995727029346837
6,4,0.14077376893845486
6,5,0.18869721835904277
6,6,0.21242741125268946
6,7,0.1700693840635221
6,8,0.09878892878359923
6,9,0.046985200069357705
6,10,0.018692254516756858
6,11,0.0033324712686400625
6,12,0.0005697379781372064
6,13,6.713769955135657e-05
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
7,1,0.0015898601644660133
7,2,0.019316800998262062
7,3,0.03926954606231053
7,4,0.10254598060805786
7,5,0.17577493978336242
7,6,0.2062313610006497
7,7,0.20956628196468435
7,8,0.137880622763315
7,9,0.07195000499855636
7,10,0.030207343124854253
7,11,0.004437155186282419
7,12,0.0012056439580533935
7,13,2.4459387145630977e-05
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
8,1,0.0017202546146057682
8,2,0.013547005090020424
8,3,0.0334732877092039
8,4,0.09633425841792302
8,5,0.14364126031958163
8,6,0.16163225649733362
8,7,0.19435805261804814
8,8,0.1656013856341584
8,9,0.12932969762306978
8,10,0.04752203372848435
8,11,0.01090797812443203
8,12,0.0012543523231500393
8,13,0.0006781772999888124
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
9,1,0.0005759697098622833
9,2,0.011663386624711237
9,3,0.034270197736805855
9,4,0.07869186160993445
9,5,0.12792287256041313
9,6,0.18095048384840068
9,7,0.15715744940528015
9,8,0.16454734648628105
9,9,0.1648553302894713
9,10,0.04682633741180363
9,11,0.028667583286327285
9,12,0.0030958371905097726
9,13,0.0007753438401992276
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
10,1,0.0
10,2,0.005803261091004872
10,3,0.02780729272773168
